model,sentence_id,sentence,token_count,avg_chars_per_token,unicode_frag_rate,subword_frag_rate,unk_rate,vocab_coverage,memory_bytes
IndicTrans2,1,அவன் பள்ளிக்கு போகிறான்.,27,1.583,0.3333,0.9259,0.0,1.0,108
IndicTrans2,2,நான் சாப்பிட்டேன்.,21,1.737,0.381,0.9048,0.0,1.0,84
IndicTrans2,3,தமிழ் மொழி மிகவும் அழகானது.,30,1.538,0.3,0.9333,0.0,1.0,120
IndicTrans2,4,அரசியல் சட்டம் மக்களை பாதுகாக்கிறது.,39,1.4,0.3077,0.9487,0.0,1.0,156
IndicTrans2,5,கணினி அறிவியல் படிப்பு மிகவும் சுவாரஸ்யமானது.,48,1.326,0.3333,0.9583,0.0,1.0,192
IndicTrans2,6,செயற்கை நுண்ணறிவு தொழில்நுட்பம் வேகமாக வளர்கிறது.,52,1.298,0.3462,0.9615,0.0,1.0,208
IndicTrans2,7,மருத்துவமனையில் நோயாளிகளுக்கு சிகிச்சை அளிக்கிறார்கள்.,57,1.264,0.386,0.9649,0.0,1.0,228
IndicTrans2,8,பொருளாதார வளர்ச்சி நாட்டின் முன்னேற்றத்திற்கு அவசியம்.,57,1.269,0.3684,0.9649,0.0,1.0,228
IndicTrans2,9,சுற்றுச்சூழல் பாதுகாப்பு அனைவரின் பொறுப்பு.,46,1.333,0.3913,0.9565,0.0,1.0,184
IndicTrans2,10,தகவல் தொழில்நுட்பத்தில் புதிய கண்டுபிடிப்புகள் வருகின்றன.,60,1.255,0.35,0.9667,0.0,1.0,240
IndicTrans2,11,அவள் மிகவும் புத்திசாலியான மாணவி.,36,1.438,0.3333,0.9444,0.0,1.0,144
IndicTrans2,12,நம் நாட்டின் பண்பாடு மிகவும் சிறந்தது.,41,1.389,0.3415,0.9512,0.0,1.0,164
IndicTrans2,13,விவசாயிகள் கடினமாக உழைக்கிறார்கள்.,37,1.412,0.3243,0.9459,0.0,1.0,148
IndicTrans2,14,குழந்தைகளுக்கு தரமான கல்வி வழங்க வேண்டும்.,45,1.35,0.3111,0.9556,0.0,1.0,180
IndicTrans2,15,இயற்கை வளங்களை பாதுகாக்க வேண்டும்.,37,1.424,0.3243,0.9459,0.0,1.0,148
IndicTrans2,16,அணுசக்தி மின்சாரம் உற்பத்தி செய்கிறது.,41,1.378,0.3415,0.9512,0.0,1.0,164
IndicTrans2,17,நெடுஞ்சாலை வழியாக பயணம் செய்தோம்.,36,1.438,0.3333,0.9444,0.0,1.0,144
IndicTrans2,18,கலைஞர்களின் படைப்புகள் சமூகத்தை உருவாக்குகின்றன.,51,1.298,0.3333,0.9608,0.0,1.0,204
IndicTrans2,19,திருவள்ளுவர் எழுதிய திருக்குறள் உலகப் புகழ் பெற்றது.,55,1.286,0.3273,0.9636,0.0,1.0,220
IndicTrans2,20,அறிவியல் ஆராய்ச்சி மனித வாழ்வை மேம்படுத்துகிறது.,51,1.304,0.3529,0.9608,0.0,1.0,204
NLLB-200,1,அவன் பள்ளிக்கு போகிறான்.,6,3.667,0.0,0.3333,0.0,1.0,24
NLLB-200,2,நான் சாப்பிட்டேன்.,6,2.833,0.0,0.3333,0.0,1.0,24
NLLB-200,3,தமிழ் மொழி மிகவும் அழகானது.,6,4.0,0.0,0.1667,0.0,1.0,24
NLLB-200,4,அரசியல் சட்டம் மக்களை பாதுகாக்கிறது.,7,4.714,0.0,0.2857,0.0,1.0,28
NLLB-200,5,கணினி அறிவியல் படிப்பு மிகவும் சுவாரஸ்யமானது.,13,3.154,0.0,0.3846,0.0,1.0,52
NLLB-200,6,செயற்கை நுண்ணறிவு தொழில்நுட்பம் வேகமாக வளர்கிறது.,15,3.0,0.0667,0.5333,0.0,1.0,60
NLLB-200,7,மருத்துவமனையில் நோயாளிகளுக்கு சிகிச்சை அளிக்கிறார்கள்.,15,3.4,0.0,0.5333,0.0,1.0,60
NLLB-200,8,பொருளாதார வளர்ச்சி நாட்டின் முன்னேற்றத்திற்கு அவசியம்.,9,5.556,0.0,0.2222,0.0,1.0,36
NLLB-200,9,சுற்றுச்சூழல் பாதுகாப்பு அனைவரின் பொறுப்பு.,12,3.333,0.0833,0.4167,0.0,1.0,48
NLLB-200,10,தகவல் தொழில்நுட்பத்தில் புதிய கண்டுபிடிப்புகள் வருகின்றன.,9,5.889,0.0,0.1111,0.0,1.0,36
NLLB-200,11,அவள் மிகவும் புத்திசாலியான மாணவி.,10,3.0,0.0,0.5,0.0,1.0,40
NLLB-200,12,நம் நாட்டின் பண்பாடு மிகவும் சிறந்தது.,8,4.25,0.0,0.125,0.0,1.0,32
NLLB-200,13,விவசாயிகள் கடினமாக உழைக்கிறார்கள்.,10,3.2,0.0,0.4,0.0,1.0,40
NLLB-200,14,குழந்தைகளுக்கு தரமான கல்வி வழங்க வேண்டும்.,8,4.75,0.0,0.25,0.0,1.0,32
NLLB-200,15,இயற்கை வளங்களை பாதுகாக்க வேண்டும்.,9,3.444,0.1111,0.4444,0.0,1.0,36
NLLB-200,16,அணுசக்தி மின்சாரம் உற்பத்தி செய்கிறது.,11,3.182,0.0,0.3636,0.0,1.0,44
NLLB-200,17,நெடுஞ்சாலை வழியாக பயணம் செய்தோம்.,11,2.727,0.0909,0.5455,0.0,1.0,44
NLLB-200,18,கலைஞர்களின் படைப்புகள் சமூகத்தை உருவாக்குகின்றன.,11,4.091,0.0,0.1818,0.0,1.0,44
NLLB-200,19,திருவள்ளுவர் எழுதிய திருக்குறள் உலகப் புகழ் பெற்றது.,17,2.765,0.0588,0.4706,0.0,1.0,68
NLLB-200,20,அறிவியல் ஆராய்ச்சி மனித வாழ்வை மேம்படுத்துகிறது.,12,3.667,0.0,0.25,0.0,1.0,48
Helsinki-dra,1,அவன் பள்ளிக்கு போகிறான்.,7,3.75,0.0,0.5714,0.2857,1.0,28
Helsinki-dra,2,நான் சாப்பிட்டேன்.,5,3.333,0.0,0.6,0.2,1.0,20
Helsinki-dra,3,தமிழ் மொழி மிகவும் அழகானது.,9,4.0,0.0,0.5556,0.3333,1.0,36
Helsinki-dra,4,அரசியல் சட்டம் மக்களை பாதுகாக்கிறது.,9,4.4,0.0,0.5556,0.3333,1.0,36
Helsinki-dra,5,கணினி அறிவியல் படிப்பு மிகவும் சுவாரஸ்யமானது.,11,4.333,0.0,0.5455,0.4545,1.0,44
Helsinki-dra,6,செயற்கை நுண்ணறிவு தொழில்நுட்பம் வேகமாக வளர்கிறது.,11,4.333,0.0,0.5455,0.4545,1.0,44
Helsinki-dra,7,மருத்துவமனையில் நோயாளிகளுக்கு சிகிச்சை அளிக்கிறார்கள்.,9,4.2,0.0,0.5556,0.4444,1.0,36
Helsinki-dra,8,பொருளாதார வளர்ச்சி நாட்டின் முன்னேற்றத்திற்கு அவசியம்.,11,4.333,0.0,0.5455,0.4545,1.0,44
Helsinki-dra,9,சுற்றுச்சூழல் பாதுகாப்பு அனைவரின் பொறுப்பு.,9,4.2,0.0,0.5556,0.4444,1.0,36
Helsinki-dra,10,தகவல் தொழில்நுட்பத்தில் புதிய கண்டுபிடிப்புகள் வருகின்றன.,11,4.333,0.0,0.5455,0.3636,1.0,44
Helsinki-dra,11,அவள் மிகவும் புத்திசாலியான மாணவி.,9,4.2,0.0,0.5556,0.4444,1.0,36
Helsinki-dra,12,நம் நாட்டின் பண்பாடு மிகவும் சிறந்தது.,11,4.0,0.0,0.5455,0.3636,1.0,44
Helsinki-dra,13,விவசாயிகள் கடினமாக உழைக்கிறார்கள்.,7,4.0,0.0,0.5714,0.4286,1.0,28
Helsinki-dra,14,குழந்தைகளுக்கு தரமான கல்வி வழங்க வேண்டும்.,11,4.833,0.0,0.5455,0.3636,1.0,44
Helsinki-dra,15,இயற்கை வளங்களை பாதுகாக்க வேண்டும்.,9,4.8,0.0,0.5556,0.3333,1.0,36
Helsinki-dra,16,அணுசக்தி மின்சாரம் உற்பத்தி செய்கிறது.,9,4.2,0.0,0.5556,0.4444,1.0,36
Helsinki-dra,17,நெடுஞ்சாலை வழியாக பயணம் செய்தோம்.,9,4.2,0.0,0.5556,0.4444,1.0,36
Helsinki-dra,18,கலைஞர்களின் படைப்புகள் சமூகத்தை உருவாக்குகின்றன.,9,4.2,0.0,0.5556,0.4444,1.0,36
Helsinki-dra,19,திருவள்ளுவர் எழுதிய திருக்குறள் உலகப் புகழ் பெற்றது.,13,4.429,0.0,0.5385,0.4615,1.0,52
Helsinki-dra,20,அறிவியல் ஆராய்ச்சி மனித வாழ்வை மேம்படுத்துகிறது.,11,4.167,0.0,0.5455,0.3636,1.0,44
mBART-50,1,அவன் பள்ளிக்கு போகிறான்.,6,3.667,0.0,0.3333,0.0,1.0,24
mBART-50,2,நான் சாப்பிட்டேன்.,4,4.25,0.0,0.25,0.0,1.0,16
mBART-50,3,தமிழ் மொழி மிகவும் அழகானது.,6,4.0,0.0,0.3333,0.0,1.0,24
mBART-50,4,அரசியல் சட்டம் மக்களை பாதுகாக்கிறது.,8,4.125,0.0,0.5,0.0,1.0,32
mBART-50,5,கணினி அறிவியல் படிப்பு மிகவும் சுவாரஸ்யமானது.,11,3.727,0.0,0.3636,0.0,1.0,44
mBART-50,6,செயற்கை நுண்ணறிவு தொழில்நுட்பம் வேகமாக வளர்கிறது.,12,3.75,0.0,0.4167,0.0,1.0,48
mBART-50,7,மருத்துவமனையில் நோயாளிகளுக்கு சிகிச்சை அளிக்கிறார்கள்.,11,4.636,0.0,0.3636,0.0,1.0,44
mBART-50,8,பொருளாதார வளர்ச்சி நாட்டின் முன்னேற்றத்திற்கு அவசியம்.,9,5.556,0.1111,0.2222,0.0,1.0,36
mBART-50,9,சுற்றுச்சூழல் பாதுகாப்பு அனைவரின் பொறுப்பு.,12,3.333,0.1667,0.5833,0.0,1.0,48
mBART-50,10,தகவல் தொழில்நுட்பத்தில் புதிய கண்டுபிடிப்புகள் வருகின்றன.,15,3.533,0.0667,0.4,0.0,1.0,60
mBART-50,11,அவள் மிகவும் புத்திசாலியான மாணவி.,9,3.333,0.0,0.4444,0.0,1.0,36
mBART-50,12,நம் நாட்டின் பண்பாடு மிகவும் சிறந்தது.,9,4.25,0.0,0.3333,0.0,1.0,36
mBART-50,13,விவசாயிகள் கடினமாக உழைக்கிறார்கள்.,11,2.909,0.0,0.5455,0.0,1.0,44
mBART-50,14,குழந்தைகளுக்கு தரமான கல்வி வழங்க வேண்டும்.,8,4.75,0.0,0.25,0.0,1.0,32
mBART-50,15,இயற்கை வளங்களை பாதுகாக்க வேண்டும்.,10,3.444,0.0,0.6,0.0,1.0,40
mBART-50,16,அணுசக்தி மின்சாரம் உற்பத்தி செய்கிறது.,10,3.5,0.0,0.6,0.0,1.0,40
mBART-50,17,நெடுஞ்சாலை வழியாக பயணம் செய்தோம்.,11,2.727,0.0909,0.4545,0.0,1.0,44
mBART-50,18,கலைஞர்களின் படைப்புகள் சமூகத்தை உருவாக்குகின்றன.,9,5.0,0.0,0.1111,0.0,1.0,36
mBART-50,19,திருவள்ளுவர் எழுதிய திருக்குறள் உலகப் புகழ் பெற்றது.,15,3.133,0.0667,0.4,0.0,1.0,60
mBART-50,20,அறிவியல் ஆராய்ச்சி மனித வாழ்வை மேம்படுத்துகிறது.,10,4.4,0.0,0.4,0.0,1.0,40
MADLAD-400,1,அவன் பள்ளிக்கு போகிறான்.,8,2.75,0.0,0.375,0.0,1.0,32
MADLAD-400,2,நான் சாப்பிட்டேன்.,6,2.833,0.0,0.3333,0.0,1.0,24
MADLAD-400,3,தமிழ் மொழி மிகவும் அழகானது.,9,2.667,0.0,0.4444,0.0,1.0,36
MADLAD-400,4,அரசியல் சட்டம் மக்களை பாதுகாக்கிறது.,10,3.3,0.1,0.6,0.0,1.0,40
MADLAD-400,5,கணினி அறிவியல் படிப்பு மிகவும் சுவாரஸ்யமானது.,15,2.733,0.0,0.4,0.0,1.0,60
MADLAD-400,6,செயற்கை நுண்ணறிவு தொழில்நுட்பம் வேகமாக வளர்கிறது.,21,2.143,0.1905,0.6667,0.0,1.0,84
