model,sentence_id,english,tamil_translation,source_token_count,target_token_count,expansion_ratio,avg_word_length,subword_fragmentation,unknown_token_rate
IndicTrans2,1,"Hello, how are you?","வணக்கம், எப்படி இருக்கிறீர்கள்?",4,3,0.75,9.6667,1.0,0.0
IndicTrans2,2,The sun rises in the east.,சூரியன் கிழக்கே உதிக்கிறது.,6,3,0.5,8.3333,1.0,0.0
IndicTrans2,3,She is reading a book.,அவள் ஒரு புத்தகத்தைப் படிக்கிறாள்.,5,4,0.8,7.75,1.0,0.0
IndicTrans2,4,Water is essential for life.,உயிர் வாழ்வதற்கு நீர் இன்றியமையாதது.,5,4,0.8,8.25,1.0,0.0
IndicTrans2,5,He went to the market.,சந்தைக்குப் போனார்.,5,2,0.4,9.0,1.0,0.0
IndicTrans2,6,The weather is very pleasant today and we should go for a walk.,"இன்று வானிலை மிகவும் இனிமையானது, நாம் நடந்து செல்ல வேண்டும்.",13,8,0.6154,6.625,1.0,0.0
IndicTrans2,7,I am going to the market to buy vegetables and fruits for dinner.,நான் இரவு உணவிற்கு காய்கறிகள் மற்றும் பழங்களை வாங்க சந்தைக்குச் செல்கிறேன்.,13,9,0.6923,7.4444,1.0,0.0
IndicTrans2,8,She has a lot of old books which she inherited from her grandparents.,அவர் தனது தாத்தா பாட்டிகளிடமிருந்து மரபுரிமையாகப் பெற்ற பல பழைய புத்தகங்கள் அவரிடம் உள்ளன.,13,11,0.8462,7.2727,1.0,0.0
IndicTrans2,9,The students worked very hard to prepare for their final examinations.,மாணவர்கள் தங்கள் இறுதித் தேர்வுகளுக்குத் தயாராவதற்கு மிகவும் கடினமாக உழைத்தனர்.,11,8,0.7273,9.0,1.0,0.0
IndicTrans2,10,My friend invited me to his birthday party and I will give him a gift.,"என் நண்பர் தனது பிறந்தநாள் விழாவிற்கு என்னை அழைத்தார், நான் அவருக்கு ஒரு பரிசை வழங்குவேன்.",15,12,0.8,6.5833,1.0,0.0
IndicTrans2,11,"If you had met me at that time, we would have gone out to eat together at the new restaurant.","அந்த நேரத்தில் நீங்கள் என்னை சந்தித்திருந்தால், நாங்கள் புதிய உணவகத்தில் ஒன்றாக சாப்பிட வெளியே சென்றிருப்போம்.",20,12,0.6,8.25,1.0,0.0
IndicTrans2,12,The government announced several new policies to improve the quality of education in rural areas.,கிராமப்புறங்களில் கல்வியின் தரத்தை மேம்படுத்துவதற்காக அரசாங்கம் பல புதிய கொள்கைகளை அறிவித்தது.,15,9,0.6,9.5556,1.0,0.0
IndicTrans2,13,Scientists have discovered a new species of plant in the Amazon rainforest that may have medicinal properties.,அமேசான் மழைக்காடுகளில் மருத்துவ குணங்களைக் கொண்ட ஒரு புதிய தாவர இனத்தை விஞ்ஞானிகள் கண்டுபிடித்துள்ளனர்.,17,11,0.6471,8.4545,1.0,0.0
IndicTrans2,14,The rapid development of artificial intelligence is transforming industries and creating new opportunities.,செயற்கை நுண்ணறிவின் விரைவான வளர்ச்சி தொழில்துறைகளை மாற்றியமைத்து புதிய வாய்ப்புகளை உருவாக்குகிறது.,13,9,0.6923,10.0,1.0,0.0
IndicTrans2,15,"Despite the challenges posed by climate change, many countries are investing in renewable energy sources.","பருவநிலை மாற்றத்தால் ஏற்படும் சவால்கள் இருந்தபோதிலும், பல நாடுகள் புதுப்பிக்கத்தக்க எரிசக்தி ஆதாரங்களில் முதலீடு செய்கின்றன.",15,12,0.8,9.4167,1.0,0.0
NLLB-200,1,"Hello, how are you?","வணக்கம், நீங்கள் எப்படி இருக்கிறீர்கள்?",6,8,1.3333,9.0,2.0,0.0
NLLB-200,2,The sun rises in the east.,கிழக்கில் சூரியன் உதிக்கிறது.,8,9,1.125,9.0,3.0,0.0
NLLB-200,3,She is reading a book.,அவள் ஒரு புத்தகத்தை படிக்கிறாள்.,6,8,1.3333,7.25,2.0,0.0
NLLB-200,4,Water is essential for life.,தண்ணீர் வாழ்க்கைக்கு இன்றியமையாதது.,6,10,1.6667,11.0,3.3333,0.0
NLLB-200,5,He went to the market.,அவர் சந்தைக்கு சென்றார்.,6,6,1.0,7.3333,2.0,0.0
NLLB-200,6,The weather is very pleasant today and we should go for a walk.,"இன்றைய வானிலை மிகவும் இனிமையானது, நாம் ஒரு நடைக்குச் செல்ல வேண்டும்.",15,18,1.2,6.6667,2.0,0.0
NLLB-200,7,I am going to the market to buy vegetables and fruits for dinner.,நான் சந்தைக்குச் சென்று இரவு உணவிற்கு காய்கறிகளையும் பழங்களையும் வாங்குகிறேன்.,15,18,1.2,8.875,2.25,0.0
NLLB-200,8,She has a lot of old books which she inherited from her grandparents.,அவளது தாத்தா-பாப்பாவிடம் இருந்து பெற்ற பல பழைய புத்தகங்கள் அவளிடம் உள்ளன.,17,19,1.1176,7.2222,2.1111,0.0
NLLB-200,9,The students worked very hard to prepare for their final examinations.,மாணவர்கள் தங்கள் இறுதித் தேர்வுகளுக்குத் தயாராக கடினமாக உழைத்தனர்.,13,18,1.3846,8.5714,2.5714,0.0
