english,tamil_reference,indictrans2_translation,sentence_bleu
Length,நீளம்,நீளம்.,50.0
_Previous,முந்தைய (_P),முந்தையது (_ P),66.874
S22: Do not breathe dust,Please take the official translations! You find them here: http: // europa. eu. int/ eur- lex/ lex/ LexUriServ/ LexUriServ. do? uri=CELEX: 32001L0059: EN: HTML,S22: தூசியை சுவாசிக்க வேண்டாம்,0.008
All files need to be analysed to complete this operation.,இந்த செயலை பூர்த்தி செய்ய அனைத்து கோப்புகளையும் ஆராய வேண்டும்.,இந்த செயல்பாட்டை முடிக்க அனைத்து கோப்புகளும் பகுப்பாய்வு செய்யப்பட வேண்டும்.,11.3396
"Had We sent down upon you a book on paper, and they had touched it with their hands, those who disbelieve would have said, “This is nothing but plain magic.”","காகிதத்தில் (எழுதப்பட்ட) ஒரு வேதத்தையே நாம் உம் மீது இறக்கி வைத்து, அதனை அவர்கள் தம் கைகளால் தொட்டுப் பார்த்தபோதிலும், ""இது பகிரங்கமான சூனியத்தைத்தவிர வேறில்லை என்று அந்நிராகரிப்போர் நிச்சயமாக சொல்வார்கள்.","நாம் உங்கள் மீது ஒரு வேதத்தை காகிதத்தில் இறக்கியிருந்தால், அவர்கள் அதை தங்கள் கைகளால் தொட்டிருந்தால், நிராகரிப்பவர்கள், ""இது தெளிவான சூனியத்தைத் தவிர வேறில்லை"" என்று கூறியிருப்பார்கள்.",6.9129
Right,& வலது,சரி.,0.0
The way (to blame) is only against those who oppress men and revolt in the earth unjustly; these shall have a painful punishment.,"ஆனால் எவர்கள் மக்களுக்கு அநியாயம் செய்து நீதமின்றி பூமியில் அட்டூழியம் செய்கிறார்களோ, அவர்கள் மீது தான் (குற்றம் சுமத்த) வழியிருக்கிறது - இத்தகையோருக்கு நோவினை செய்யும் வேதனையுண்டு.","(குற்றம் சாட்டுவதற்கான) வழி மனிதர்களை ஒடுக்குபவர்களுக்கும், பூமியில் அநீதியாக கலகம் செய்பவர்களுக்கும் மட்டுமே எதிரானது, இவர்களுக்கு வேதனையான தண்டனை உண்டு.",4.126
Maps,வரைபடங்கள்,வரைபடங்கள்,100.0
Writing leadout,வெளிசெல்வதை எழுதுகிறது,முன்னணி வெளியீட்டை எழுதுதல்,0.0
Terrace,டெரெஸ்,மாடி.,0.0
Christmas Theme,Name=கிறிஸ்துமஸ் பொருள்,கிறிஸ்துமஸ் கருப்பொருள்,18.394
"Display video, audio and image preview",காட்சி ஒலி மற்றும் பிம்ப முன்பார்வை ஆகியவற்றை காட்டு,"வீடியோ, ஆடியோ மற்றும் பட முன்னோட்டத்தைக் காட்டு",7.8098
Free hand Draw non-linear lines,வெறும் கை பகுக்காத நேரான கோடுகளை வரையவும்,சுதந்திரமான கை நேரியல் அல்லாத கோடுகளை வரையவும்,17.9652
Delete,அழி,நீக்கு,0.0
Status of Code Generation Progress,கோடு உருவாக்கு விருப்பங்கள்,குறியீடு உருவாக்கும் முன்னேற்றத்தின் நிலை,0.0
Impossible to link plugin pads,சொருகி பாட் களை இணைப்பது இயலவே இயலாது,சொருகி பட்டைகளை இணைக்க இயலாது,11.5216
What's that supposed to mean?,என்று அர்த்தம் வேண்டும் என்ன?,இதன் அர்த்தம் என்னவாக இருக்க வேண்டும்?,10.6822
Y position of window on screen according to X11,X11 சார்ந்து திரையில் சாளரத்தின் Y நிலை,X11 இன் படி திரையில் சாளரத்தின் Y நிலை,43.4721
Next,பக்கத்துக்கு பொருத்து,அடுத்து,0.0
Street address,தெரு முகவரி,தெரு முகவரி,100.0
Type,வகை,வகை,100.0
"on, baby","இல்,குழந்தை","மீது, குழந்தை",55.0321
Developer,உ உருவாக்குவோர்,மேம்பாட்டாளர்,0.0
San Cristóbal,venezuela. kgm,சான் கிறிஸ்டோபல்,0.0
Whether pressing return causes the activate signal to be emitted,திரும்பவும் அழுத்துவதால் ஒதுக்கப்பட்ட சிக்னல் மீண்டும் செயல்படுத்துகிறது,திரும்ப அழுத்துவது ஆக்டிவேட் சமிக்ஞையை வெளியிடுமா என்பதை ஏற்படுத்துகிறதா,0.0
We're gonna sell the house... Jim...,நாங்கள் வீட்டை விற்க போகிறேன் என்று...,நாங்கள் வீட்டை விற்கப் போகிறோம்... ஜிம்.,22.3162
